country_code,permalink,category_list,funding_round_type,raised_amount_usd
GBR,busuu,EdTech,venture,4700000.0
GBR,buyapowa,E-Commerce,venture,4600000.0
GBR,buyapowa,E-Commerce,venture,3000000.0
GBR,buzzmyvideos-youtube-network,Advertising,venture,2500000.0
GBR,byyd,Advertising,venture,7500000.0
GBR,byyd,Advertising,venture,600000.0
GBR,cable-sense,Web Hosting,venture,1281302.0
GBR,calastone,Finance,venture,1580000.0
GBR,calastone,Finance,venture,3242343.0
GBR,calastone,Finance,venture,18000000.0
GBR,calcivis,Health Care,venture,1905486.0
GBR,calcivis,Health Care,venture,800000.0
GBR,calcivis,Health Care,venture,109742.0
GBR,calcivis,Health Care,venture,4101819.0
GBR,call-britannia,Consulting,venture,2835160.0
GBR,camber-tech,Advertising,venture,1500000.0
GBR,cambridge-broadband-networks,Telecommunications,venture,7500000.0
GBR,cambridge-broadband-networks,Telecommunications,venture,16500000.0
GBR,cambridge-broadband-networks,Telecommunications,venture,22500000.0
GBR,cambridge-broadband-networks,Telecommunications,venture,9000000.0
GBR,cambridge-communication-systems,Hardware + Software,venture,6832317.0
GBR,cambridge-epigenetix,Biotechnology,venture,5500000.0
GBR,cambridge-imaging-systems-ltd,Cloud Data Services,venture,3070655.0
GBR,cambridge-imaging-systems-ltd,Cloud Data Services,venture,2518243.0
GBR,cambridge-positioning-systems,Software,venture,339000.0
